algorithm,training_time_sec,val_accuracy,test_accuracy,test_precision,test_recall,test_f1,avg_inference_ms
SVM,1.965381600006367,0.9946236559139785,0.9962794543199669,0.9966482234974411,0.9961868135781179,0.9963424898603656,0.16104262092268365
KNN,0.001857499999459833,0.9904880066170388,0.992972302604382,0.9934241810440659,0.9927002833222087,0.9929604660441871,0.01913162464034944
RandomForest,11.861813900002744,0.9937965260545906,0.9950392724266226,0.9953900601002982,0.994851090202801,0.9950425239165084,0.019487887558603523
