algorithm,training_time_sec,val_accuracy,test_accuracy,test_precision,test_recall,test_f1,avg_inference_ms
SVM,0.48421349999989616,0.9973154362416108,0.9973190348525469,0.9973914973914974,0.9973262032085561,0.9973293649056768,0.05493190348408642
MLP,1.8456074999994598,0.9973154362416108,0.9946380697050938,0.9948838300694894,0.9948086672685602,0.994786635278001,0.004082305630966746
RandomForest,3.833705099998042,0.9986577181208054,0.9986595174262735,0.9985569985569985,0.998663101604278,0.9985993265993266,0.0643505361940039
