algorithm,training_time_sec,val_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_top3_accuracy,test_top5_accuracy,avg_inference_ms
SVM,1.5502294600000823,0.9970113568439928,0.9988045427375971,0.9988634101015464,0.9987471479791394,0.998795846013029,0.9994022713687986,0.9994022713687986,0.1042791207411494
MLP,22.550407086000178,0.9916317991631799,0.9970113568439928,0.9970568129478009,0.9970776042414765,0.9970444128290998,0.9994022713687986,0.9994022713687986,0.0037970490137386186
RandomForest,14.653592582000101,0.9928272564255828,0.9988045427375971,0.9989215686274509,0.9987986589681506,0.9988515357709729,0.9994022713687986,0.9994022713687986,0.031329619844574094
